name,address-street,address-zipcode,address-place,google_search_link,category,phone,adress,website,email,handler_type,company_purpose,management,registration_number,profit_year,profit_amount,company_url
Zimmermann Sanitäts- und Orthopädiehaus GmbH,Karl-Theodor-Str. 69,80803.0,München,https://www.google.de/search?q=Zimmermann+Sanit%C3%A4ts-+und+Orthop%C3%A4diehaus+GmbH+Karl-Theodor-Str.+69+80803+M%C3%BCnchen,Inkontinenzhilfen%2C+ableitend,+49 9421 80070,"Bahnhofstr. 20, 94315 Straubing",zimmermann-vital.de,info@zimmermann-vital.de,"Sanitäts- und Orthopädiehaus, Reha-Technik und Home Care","Erbringung von Leistungen im Gesundheitswesen, insbesondere Handel und Versorgung mit bzw.","Stephanie Hautmann, Vincent Hautmann, Matthias Christ",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Zimmermann-Sanitaets-und-Orthopaediehaus-GmbH-Straubing
Paul Samberger GmbH,Landsberger Str. 203,80687.0,München,https://www.google.de/search?q=Paul+Samberger+GmbH+Landsberger+Str.+203+80687+M%C3%BCnchen,Inkontinenzhilfen%2C+ableitend,+49 89 5177770,"Landsbergerstr. 203, 80687 München",samberger24.de,info@samberger24.de,Herstellung von sonstigen Waren,Sanitätshaus,"Jürgen Markert, Thomas Albrecht, Walter Albrecht",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Paul-Samberger-GmbH-Muenchen
Nymphenburger Apotheke Hans Michler,Romanstr. 81,80639.0,München,https://www.google.de/search?q=Nymphenburger+Apotheke+Hans+Michler+Romanstr.+81+80639+M%C3%BCnchen,Inkontinenzhilfen%2C+ableitend,,"Romanstraße 81, 80639 München",,,Pharmazie,Betrieb einer Apotheke.,,Eingetragener Kaufmann,,,https://www.companyhouse.de/Nymphenburger-Apotheke-eK-Hans-Michler-Muenchen
Medicura Medizinfachhandel GbR,Illungshofstr. 19,80807.0,München,https://www.google.de/search?q=Medicura+Medizinfachhandel+GbR+Illungshofstr.+19+80807+M%C3%BCnchen,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
SaniPlus GmbH & Co. KG Sanitätshaus/Verwaltung,Charles-de-Gaulle-Str. 4,81737.0,München,https://www.google.de/search?q=SaniPlus+GmbH+%26+Co.+KG+Sanit%C3%A4tshaus%2FVerwaltung+Charles-de-Gaulle-Str.+4+81737+M%C3%BCnchen,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Spörer AG,Helene-Wessel-Bogen 15,80939.0,München,https://www.google.de/search?q=Sp%C3%B6rer+AG+Helene-Wessel-Bogen+15+80939+M%C3%BCnchen,Inkontinenzhilfen%2C+ableitend,,"Friedrichshofenerstr. 6-10, 85049 Ingolstadt",spoerer.de,medizinproduktegesetz@spoerer.de,Das Hauptgeschäftsfeld von Spörer AG ist die Herstellung und der Vertrieb von Hilfsmitteln aus den Bereichen Orthopädie- und Reha-Technik sowie die Bereitstellung von Dienstleistungen in Sanitätshäusern,"Spörer AG ist ein moderner Dienstleister, seit über 95 Jahren ein breites Spektrum an Beratung, Service und Versorgung in den Bereichen Orthopädietechnik, Reha-Technik und Homecare anbietet. Das Unternehmen ist bekannt für seine hochmodernen Werkstätten und den 24-Stunden-Notdienst, durch einen Fuhrpark von zwölf Servicefahrzeugen gewährleistet wird.","Florian Spörer, Heinz Spörer",Aktiengesellschaft,,,https://www.companyhouse.de/Spoerer-AG-Ingolstadt
helpline Handels GmbH,Stockacher Str. 5,81243.0,München,https://www.google.de/search?q=helpline+Handels+GmbH+Stockacher+Str.+5+81243+M%C3%BCnchen,Inkontinenzhilfen%2C+ableitend,+49 8252 89520,"Pöttmeserstr. 27, 86529 Schrobenhausen",,,Einzelhandel,"Handel mit Waren aller Art, insbesondere mit Hilfsmitteln für die Rehabilitation sowie damit zusammenhängende Dienstleistungen.",Christoph Kurzhals,HRB 2123 Amtsgericht Ingolstadt,2022.0,43266.46,https://www.companyhouse.de/helpline-Handels-GmbH-Schrobenhausen
Rathaus-Apotheke Dr. Jürgen Dietrich,Rathausplatz 1,82031.0,Grünwald,https://www.google.de/search?q=Rathaus-Apotheke+Dr.+J%C3%BCrgen+Dietrich+Rathausplatz+1+82031+Gr%C3%BCnwald,Inkontinenzhilfen%2C+ableitend,+49 89 6413573,"Rathauspl. 1, 82031 Grünwald",,,Einzelhandel,,,,,,https://www.companyhouse.de/Rathaus-Apotheke-Dr-Juergen-Dietrich-eK-Gruenwald
PharmaCare GmbH,Raiffeisenallee 16,82041.0,Oberhaching,https://www.google.de/search?q=PharmaCare+GmbH+Raiffeisenallee+16+82041+Oberhaching,Inkontinenzhilfen%2C+ableitend,+49 89 219668870,"Raiffeisenallee 16, 82041 Oberhaching",,,Medizinprodukte Vertrieb und Beratung,"Herstellung von Produkten aus dem Gesundheitsbereich, Beratung zu solchen Produkten sowie Vertrieb von Produkten aller Art.","Dirk Bauer, Werner Bauer",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/PharmaCare-GmbH-Oberhaching
Central-Apotheke Anke Dreier,An der Wögerwiese 4,85757.0,Karlsfeld,https://www.google.de/search?q=Central-Apotheke+Anke+Dreier+An+der+W%C3%B6gerwiese+4+85757+Karlsfeld,Inkontinenzhilfen%2C+ableitend,+49 8131 2994726,"Münchnerstr. 159, 85757 Karlsfeld",,vital@apotheke-karlsfeld.de,Einzelhandel,,"Berenike Kummer, Berenike Struve",,,,https://www.companyhouse.de/Apotheke-im-Vital-Center-Inhaberin-Apothekerin-Berenike-Kummer-eK-Karlsfeld
Rolli-World GmbH,Poinger Str. 2,85551.0,Kirchheim,https://www.google.de/search?q=Rolli-World+GmbH+Poinger+Str.+2+85551+Kirchheim,Inkontinenzhilfen%2C+ableitend,+49 89 95951501,"Poingerstr. 2, 85551 Kirchheim bei München",rolli-world.de,info@rolli-world.de,Handel mit Reha- und Kontinenzartikeln,"Rolli-World GmbH ist ein Fachhandel für Reha- und Kontinenzartikel. Das Unternehmen ist Hauptsponsor der Schiedsrichter im Rollstuhlrugby und Sportförderer des Rollstuhlbasketballteams RBB . Es bietet eine breite Palette von Produkten an, darunter Lenkräder, Triride, RGK-Rollstühle und Inkontinenzversorgungsartikel.",Alfred Lindner,HRB 157089 Amtsgericht München,,,https://www.companyhouse.de/Rolli-World-GmbH-Kirchheim-bei-Muenchen
ORTHOFIT Sanitätshaus GmbH,Zugspitzstr. 47 // OT H,85551.0,Kirchheim,https://www.google.de/search?q=ORTHOFIT+Sanit%C3%A4tshaus+GmbH+Zugspitzstr.+47+%2F%2F+OT+H+85551+Kirchheim,Inkontinenzhilfen%2C+ableitend,+49 89 2350820,"Altheimer Eck 2, 80331 München",,,"Sanitätshaus, Orthopädie- und Rehatechnik","ORTHOFIT Sanitätshaus GmbH bietet eine individuelle, indikationsgerechte Versorgung mit hochwertigen Hilfsmitteln und Produkten für das Wohlbefinden. Das Unternehmen verfügt über ein ganzheitliches Leistungsangebot in den Bereichen Sanitätshaus, Orthopädietechnik, Orthopädie-Schuhtechnik und Reha-Technik. Die Spezialisten arbeiten bereichsübergreifend zusammen, um eine Rundum-Versorgung und -Betreuung zu gewährleisten.","Sebastian Aman, André Peste",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/ORTHOFIT-Sanitaetshaus-GmbH-Muenchen
GT Gesundheitsteam GmbH Bayern,Grubmühlerfeldstr. 54,82131.0,Gauting,https://www.google.de/search?q=GT+Gesundheitsteam+GmbH+Bayern+Grubm%C3%BChlerfeldstr.+54+82131+Gauting,Inkontinenzhilfen%2C+ableitend,+49 89 8994850,"Grubmühlerfeldstr. 54, 82131 Gauting",gesundheitsteam.com,info@gesundheitsteam.com,Vertrieb von medizinischen Hilfsmitteln,"GT Gesundheitsteam GmbH Bayern ist ein zertifiziertes Homecare-Unternehmen, sich auf den Vertrieb von medizinischen Hilfsmitteln spezialisiert hat. Es bietet eine breite Palette von Dienstleistungen an, darunter Beratung, Einweisung, Überleitungsmanagement und Schulungsangebote, um die Lebensqualität von Patienten zu verbessern.","Marcus Jaensch, Maria Leidl Theresia, Ina Brandt Jutta",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/GT-Gesundheitsteam-GmbH-Bayern-Gauting
ORTHOMED GmbH,Ilchinger Weg 1,85604.0,Zorneding,https://www.google.de/search?q=ORTHOMED+GmbH+Ilchinger+Weg+1+85604+Zorneding,Inkontinenzhilfen%2C+ableitend,+49 8106 3640,"Ilchinger Weg 1, 85604 Zorneding",orthomed.de,info@orthomed.de,Sanitätshaus und Homecare,"Handel mit Waren aller Art, insbesondere mit medizinischen Artikeln und alle damit im Zusammenhang stehenden Dienstleistungen.","Ilse Ingrid Pfanzelt, Felix Alexander Pfanzelt, Günter Pfanzelt",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/ORTHOMED-GmbH-Zorneding
WKM Medizintechnik GmbH,Dr.-Rank-Str. 8,82275.0,Emmering,https://www.google.de/search?q=WKM+Medizintechnik+GmbH+Dr.-Rank-Str.+8+82275+Emmering,Inkontinenzhilfen%2C+ableitend,+49 8141 22970,"Dr.-Rank-Str. 8, 82275 Emmering",,,"Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","Fertigung, Herstellung und Reparatur von medizinischen Hilfsmitteln der Orthopädie-, Rehabilitations- und Medizintechnik sowie Dienstleistungen im Bereich von und Handel mit orthopädischen und medizintechnischen Hilfsmitteln und medizinischen Gasen.","Roman Bartelt, Georg Streifeneder",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/WKM-Medizintechnik-GmbH-Emmering
H.T.S. Reha-Technik Ralf Salzberger,Sonnenstr. 18,82140.0,Olching,https://www.google.de/search?q=H.T.S.+Reha-Technik+Ralf+Salzberger+Sonnenstr.+18+82140+Olching,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Schwarz Medizintechnik GmbH & Co. KG,Aich 46,85667.0,Oberpframmern,https://www.google.de/search?q=Schwarz+Medizintechnik+GmbH+%26+Co.+KG+Aich+46+85667+Oberpframmern,Inkontinenzhilfen%2C+ableitend,,"Aich 46, 85667 Oberpframmern",,,"Gesundheit, Wellness & Fitness","Erbringung medizintechnischer Leistungen, insbesondere Komplettversorgung von Patienten im Heimpflegeb ereich (ausgenommen Arztliestungen","Ingmar Klenert, Stefan Schwarz",Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/Schwarz-Medizintechnik-GmbH-Co-KG-Oberpframmern
Zimmermann Sanitäts- und,Bahnhofstr. 29,85375.0,Neufahrn,https://www.google.de/search?q=Zimmermann+Sanit%C3%A4ts-+und+Bahnhofstr.+29+85375+Neufahrn,Inkontinenzhilfen%2C+ableitend,+49 9421 80070,"Bahnhofstr. 20, 94315 Straubing",zimmermann-vital.de,info@zimmermann-vital.de,"Sanitäts- und Orthopädiehaus, Reha-Technik und Home Care","Erbringung von Leistungen im Gesundheitswesen, insbesondere Handel und Versorgung mit bzw.","Stephanie Hautmann, Vincent Hautmann, Matthias Christ",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Zimmermann-Sanitaets-und-Orthopaediehaus-GmbH-Straubing
Medizinal Kontor München GmbH,Unterfeldring 29,85256.0,Vierkirchen,https://www.google.de/search?q=Medizinal+Kontor+M%C3%BCnchen+GmbH+Unterfeldring+29+85256+Vierkirchen,Inkontinenzhilfen%2C+ableitend,,"Unterfeldring 29, 85256 Vierkirchen",,,Großhandel,"Vertrieb von medizinischen Geräten und Produkten, soweit dieser keiner Genehmigung oder Erlaubnis bedarf.","Thomas Stieber, Michael Hagn",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Medizinal-Kontor-Muenchen-GmbH-Vierkirchen
Sanitätshaus Rattenhuber GmbH,Clemensänger Ring 3,85356.0,Freising,https://www.google.de/search?q=Sanit%C3%A4tshaus+Rattenhuber+GmbH+Clemens%C3%A4nger+Ring+3+85356+Freising,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Müller Betten GmbH & Co KG Sanitätshaus,Kesselbodenstr. 5 a,85391.0,Allershausen,https://www.google.de/search?q=M%C3%BCller+Betten+GmbH+%26+Co+KG+Sanit%C3%A4tshaus+Kesselbodenstr.+5+a+85391+Allershausen,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Doktors Warenhaus Alfred Filip,Marktstr. 1,85235.0,Odelzhausen,https://www.google.de/search?q=Doktors+Warenhaus+Alfred+Filip+Marktstr.+1+85235+Odelzhausen,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Sued-med Vertriebs-GmbH,Gutenbergstr. 6,83052.0,Bruckmühl,https://www.google.de/search?q=Sued-med+Vertriebs-GmbH+Gutenbergstr.+6+83052+Bruckm%C3%BChl,Inkontinenzhilfen%2C+ableitend,+49 8062 904550,"Gutenbergstr. 6, 83052 Bruckmühl",,webmaster@sued-med-gmbh.de,Großhandel,Sanitätshaus,Franz Albert Widmann,HRB 7046 Amtsgericht Traunstein,,,https://www.companyhouse.de/Sued-med-Vertriebs-GmbH-Medizintechnik-Aerzte-und-Krankenhausbedarf-Bruckmuehl
Die Stadtapotheke Ulrike Diegmann e.K.,Säggasse 12,83646.0,Bad Tölz,https://www.google.de/search?q=Die+Stadtapotheke+Ulrike+Diegmann+e.K.+S%C3%A4ggasse+12+83646+Bad+T%C3%B6lz,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Orthopädie-Technik Kurtze GmbH,Färbergasse 4,82362.0,Weilheim,https://www.google.de/search?q=Orthop%C3%A4die-Technik+Kurtze+GmbH+F%C3%A4rbergasse+4+82362+Weilheim,Inkontinenzhilfen%2C+ableitend,+49 89 55257641,"Seidlstr. 21-23, 80335 München",kurtze.de,info@kurtze.de,Orthopädie-Technik,Betrieb eines Sanitätshauses.,Thomas Kurtze,HRB 188347 Amtsgericht München,,,https://www.companyhouse.de/Orthopaedie-Technik-Kurtze-GmbH-Muenchen
Sanitätshaus Hilscher GmbH & Co. KG,Karlstr. 12,86150.0,Augsburg,https://www.google.de/search?q=Sanit%C3%A4tshaus+Hilscher+GmbH+%26+Co.+KG+Karlstr.+12+86150+Augsburg,Inkontinenzhilfen%2C+ableitend,,"Hans-Geiger-Str. 2, 89407 Dillingen a.d.Donau",,,Großhandel,"Handel mit enteraler Ernährung, Wundversorgung, Tracheostomie, Stomaversorgung, medizinischen Geräten, freiverkäuflichen Arzneimitteln.","Markus Hilscher, Tanja Hilscher, Tanja Meier",HRA 18134 Amtsgericht Augsburg,,,https://www.companyhouse.de/Sanitaetshaus-Hilscher-GmbH-Co-KG-Dillingen-adDonau
Hofapotheke St. Afra Tobias Müller,Hoher Weg 11,86152.0,Augsburg,https://www.google.de/search?q=Hofapotheke+St.+Afra+Tobias+M%C3%BCller+Hoher+Weg+11+86152+Augsburg,Inkontinenzhilfen%2C+ableitend,+49 821 343470,"Hoher Weg 11, 86152 Augsburg",,,Einzelhandel,,Tobias Müller,,,,https://www.companyhouse.de/Hofapotheke-St-Afra-Apotheker-Tobias-Mueller-eK-Augsburg
OTS Schneider GmbH,Ulmer Str. 17,86154.0,Augsburg,https://www.google.de/search?q=OTS+Schneider+GmbH+Ulmer+Str.+17+86154+Augsburg,Inkontinenzhilfen%2C+ableitend,+49 821 417044,"Spitalgasse 17, 86154 Augsburg",ots-barnsteiner.com,ots@ots-barnsteiner.de,"Das Hauptgeschäftsfeld von OTS Schneider GmbH ist Sanitätshausprodukte, Orthopädie- und Rehatechnik sowie Orthopädie-Schuhtechnik","Orthopädietechnik und Orthopädieschuhtechnik, insbesondere Herstellung, Vertrieb und Wartung von entsprechenden Hilfsmitteln.",Peter Schneider,HRB 32227 Amtsgericht Augsburg,,,https://www.companyhouse.de/OTS-Schneider-GmbH-Augsburg
Drescher & Lung Sanitätshaus,Klausenberg 30,86199.0,Augsburg,https://www.google.de/search?q=Drescher+%26+Lung+Sanit%C3%A4tshaus+Klausenberg+30+86199+Augsburg,Inkontinenzhilfen%2C+ableitend,+49 821 90070,"Klausenberg 28-30, 86199 Augsburg",,,Sanitätshausprodukte und technische Orthopädie,"Orthopädietechnik, Groß- und Einzelhandel mit Ärzte-, Krankenhaus- und Laborbedarf, Sanitätsartikeln, Spezialschuhen sowie ähnlichen Erzeugnissen; Groß- und Einzelhandel mit Pharmazeutischen-, Kosmetischen, Inkontinenz-Stomaprodukten, sowie Verbandstoffen aller Art; Groß- und Einzelhandel mit Rehabilitationsmittel, Hilfsmittel, Heilbehelfe aller Art, sowie deren Herstellung und/oder Erzeugung; Groß- und Einzelhandel von EDV-Soft-/Hardwareprodukten aller Art, sowie deren Herstellung und/oder Erzeugung","Bernd Drescher Gerber, Bernd Gerber",Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/Drescher-Lung-Sanitaetshaus-Werkstaetten-fuer-technische-Orthopaedie-GmbH-Co-KG-Augsburg
Augustus Vertriebs GmbH,Friedberger Str. 71,86161.0,Augsburg,https://www.google.de/search?q=Augustus+Vertriebs+GmbH+Friedberger+Str.+71+86161+Augsburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,https://www.companyhouse.de/Augustus-Vertriebs-GmbH
MedComplet GmbH,Steinerne Furt 65 a,86167.0,Augsburg,https://www.google.de/search?q=MedComplet+GmbH+Steinerne+Furt+65+a+86167+Augsburg,Inkontinenzhilfen%2C+ableitend,+49 821 3432290,"Steinerne Furt 65a, 86167 Augsburg",medcomplet.de,kontakt@medcomplet.de,Der Handel mit medizinischen Bedarfsartikeln,Medizintechnikvertrieb,"Markus Kiderle, Mathias Kraus",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/MedComplet-GmbH-Augsburg
Lindauer medicare GmbH,Fuggerstr. 2,86356.0,Neusäß,https://www.google.de/search?q=Lindauer+medicare+GmbH+Fuggerstr.+2+86356+Neus%C3%A4%C3%9F,Inkontinenzhilfen%2C+ableitend,+49 821 420710,"Fuggerstraße 2, 86356 Neusäß",lindauer-gesundheit.de,info@lindauer-gesundheit.de,Sanitäts- und Medizintechnik,Sanitätshaus,"Dietmar Lindauer, Renate Lindauer",HRB 19524 Amtsgericht Augsburg,,,https://www.companyhouse.de/Lindauer-medicare-GmbH-Neusaess
Martin Klapka GmbH,Hauptstr. 56 a,86405.0,Meitingen,https://www.google.de/search?q=Martin+Klapka+GmbH+Hauptstr.+56+a+86405+Meitingen,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Sanitätshaus Sturm GmbH,Hauptstr. 2,86551.0,Aichach,https://www.google.de/search?q=Sanit%C3%A4tshaus+Sturm+GmbH+Hauptstr.+2+86551+Aichach,Inkontinenzhilfen%2C+ableitend,,"Blücherstraße 35, 86165 Augsburg",,,Großhandel,"Betrieb eines Sanitätshauses, insbesondere Handel mit Krankenpflegeartikeln, Hilfsmitteln für Rehabilitation und dergleichen.","Gerhard Sturm, Renate Sturm",HRB 21481 Amtsgericht Augsburg,,,https://www.companyhouse.de/Sanitaetshaus-Sturm-GmbH-Augsburg
Helpline Handels GmbH,Pöttmeser Str. 27,86529.0,Schrobenhausen,https://www.google.de/search?q=Helpline+Handels+GmbH+P%C3%B6ttmeser+Str.+27+86529+Schrobenhausen,Inkontinenzhilfen%2C+ableitend,+49 8252 89520,"Pöttmeserstr. 27, 86529 Schrobenhausen",,,Einzelhandel,"Handel mit Waren aller Art, insbesondere mit Hilfsmitteln für die Rehabilitation sowie damit zusammenhängende Dienstleistungen.",Christoph Kurzhals,HRB 2123 Amtsgericht Ingolstadt,,,https://www.companyhouse.de/helpline-Handels-GmbH-Schrobenhausen
Bernhard Langermeier GmbH,Bahnhofstr. 9,86807.0,Buchloe,https://www.google.de/search?q=Bernhard+Langermeier+GmbH+Bahnhofstr.+9+86807+Buchloe,Inkontinenzhilfen%2C+ableitend,+49 8341 93780,"Bavariaring 2, 87600 Kaufbeuren",langermeier-kaufbeuren.de,info@langermeier.de,Sanitätshaus,"Bernhard Langermeier GmbH ist ein Sanitätshaus, sich auf die Versorgung von Kunden mit medizinischen Produkten und Dienstleistungen spezialisiert hat. Das Unternehmen zeichnet sich durch eine lange Erfahrung von über 60 Jahren in der Branche aus und bietet eine breite Palette von Produkten und Dienstleistungen an, darunter Rezeptservice, Zertifizierte Qualität und Vermietung von Arbeitsräumen. Der Hauptzweck der Geschäftstätigkeit von Bernhard Langermeier GmbH besteht darin, seinen Kunden individuelle und zuverlässige Lösungen für ihre medizinischen Bedürfnisse anzubieten.","Nadine Lahmer, Ursula Langermeier, Ursula Lahmer",HRB 2216 Amtsgericht Kempten (Allgäu),,,https://www.companyhouse.de/Bernhard-Langermeier-GmbH-Kaufbeuren
Sanitätshaus Feix Joachim Feix e.K.,Pflegstr. 7 - 9,86609.0,Donauwörth,https://www.google.de/search?q=Sanit%C3%A4tshaus+Feix+Joachim+Feix+e.K.+Pflegstr.+7+-+9+86609+Donauw%C3%B6rth,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
medi-pro GmbH,Erwin-Bosch-Ring 28,86381.0,Krumbach,https://www.google.de/search?q=medi-pro+GmbH+Erwin-Bosch-Ring+28+86381+Krumbach,Inkontinenzhilfen%2C+ableitend,+49 8282 882990,"Erwin-Bosch-Ring 28, 86381 Krumbach (Schwaben)",,,Großhandel,"Sanitätshaus, Krumbach (Schwaben), Bayern",Gerlinde Mayer,HRB 11877 Amtsgericht Memmingen,,,https://www.companyhouse.de/medi-pro-GmbH-Krumbach-Schwaben
Archinger Thomas,Adlerstr. 243 c,86633.0,Neuburg,https://www.google.de/search?q=Archinger+Thomas+Adlerstr.+243+c+86633+Neuburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Sanitätshaus & Orthopädietechnik,Joseph-Fraunhofer-Str. 9,85276.0,Pfaffenhofen,https://www.google.de/search?q=Sanit%C3%A4tshaus+%26+Orthop%C3%A4dietechnik+Joseph-Fraunhofer-Str.+9+85276+Pfaffenhofen,Inkontinenzhilfen%2C+ableitend,+49 4407 91730,"Oldenburgerstr. 260, 26203 Wardenburg",,,Herstellung von sonstigen Waren,Sanitätshaus,Matthias Otto,Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/Sanitaetshaus-Orthopaedietechnik-Max-Herrmann-GmbH-Co-KG-Wardenburg
Apotheke am Klinikum Daniel Mainka,Levelingstr. 21,85049.0,Ingolstadt,https://www.google.de/search?q=Apotheke+am+Klinikum+Daniel+Mainka+Levelingstr.+21+85049+Ingolstadt,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Hollis-Apotheke Daniel Mainka,Krumenauerstr. 44,85049.0,Ingolstadt,https://www.google.de/search?q=Hollis-Apotheke+Daniel+Mainka+Krumenauerstr.+44+85049+Ingolstadt,Inkontinenzhilfen%2C+ableitend,+49 841 480500,"Krumenauerstr. 38-42, 85049 Ingolstadt",baeren-apotheke-ingolstadt.de,baeren@in-apotheken.de,Apotheken- und Pharmaziedienstleistungen,"Hollis Apotheke Daniel Mainka e.K. ist eine Apotheke, sich auf kompetente pharmazeutische Beratung und Services spezialisiert hat. Kunden können Rezepte online einlösen und Medikamente vorbestellen. Das Unternehmen bietet eine breite Auswahl an hochwertigen Produkten und eine kompetente Beratung durch erfahrene Apothekerinnen und Apotheker.",,HRA 1530 Amtsgericht Ingolstadt,,,https://www.companyhouse.de/Hollis-Apotheke-Daniel-Mainka-eK-Ingolstadt
gesundleben Apotheke im Medi-In-Park,Am Westpark 1,85057.0,Ingolstadt,https://www.google.de/search?q=gesundleben+Apotheke+im+Medi-In-Park+Am+Westpark+1+85057+Ingolstadt,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Bären Apotheke Daniel Mainka,Schlüterstr. 3,85057.0,Ingolstadt,https://www.google.de/search?q=B%C3%A4ren+Apotheke+Daniel+Mainka+Schl%C3%BCterstr.+3+85057+Ingolstadt,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Auerswald - Homecare zum Wohlfühlen,Buchersrieder Str. 2,85296.0,Rohrbach,https://www.google.de/search?q=Auerswald+-+Homecare+zum+Wohlf%C3%BChlen+Buchersrieder+Str.+2+85296+Rohrbach,Inkontinenzhilfen%2C+ableitend,,"Burgstaller Straße 2, 85296 Rohrbach",,,Großhandel,Fachhandel mit und für Medizinprodukte als Dienstleistung.,Katja Auerswald,HRA 3519 Amtsgericht Ingolstadt,,,https://www.companyhouse.de/Auerswald-Homecare-zum-Wohlfuehlen-eKfr-Rohrbach
bep MediTec GmbH Zweigstelle,Marktplatz 4,85283.0,Wolnzach,https://www.google.de/search?q=bep+MediTec+GmbH+Zweigstelle+Marktplatz+4+85283+Wolnzach,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Seitz GmbH,Nürnberger Str. 2 - 6,91781.0,Weißenburg,https://www.google.de/search?q=Seitz+GmbH+N%C3%BCrnberger+Str.+2+-+6+91781+Wei%C3%9Fenburg,Inkontinenzhilfen%2C+ableitend,+49 6192 99480,"Gutenbergstr. 1-3, 65830 Kriftel",seitz24.com,seitz@seitz24.com,"Textilpflege, Reinigungsmittel und Wäschereilösungen","Herstellung von und Handel mit Produkten für die Reinigung von Textilien und anderem Material sowie Großhandel mit Händedesinfektionsmitteln, insbesondere die Fortführung des Geschäftsbetriebs der seit 1885 bestehenden Firma Gebrüder Seitz, gemäß Betriebsüberlassungsvertrag vom 18. November 1977 von der Gesellschaft übernommen worden ist.",,Gesellschaft mit beschränkter Haftung,2022.0,20320992.81,https://www.companyhouse.de/Seitz-GmbH-Kriftel
Einhorn-Apotheke Am Hefnersplatz,Färberstr. 7,90402.0,Nürnberg,https://www.google.de/search?q=Einhorn-Apotheke+Am+Hefnersplatz+F%C3%A4rberstr.+7+90402+N%C3%BCrnberg,Inkontinenzhilfen%2C+ableitend,+49 911 226715,"Färberstraße 7, 90402 Nürnberg",apotheke-einhorn.de,info@apotheke-einhorn.de,Apothekenwesen,Betrieb einer Apotheke.,"Wolfram Freidhöfer, Kathrin Seufert",Eingetragener Kaufmann,,,https://www.companyhouse.de/Einhorn-Apotheke-am-Hefnersplatz-Apotheker-Gerhard-Freidhoefer-Inh-Wolfram-Freidhoefer-Nuernberg
Riedel & Pfeuffer GmbH Haus der Gesundheit,Gostenhofer Hauptstr. 21,90443.0,Nürnberg,https://www.google.de/search?q=Riedel+%26+Pfeuffer+GmbH+Haus+der+Gesundheit+Gostenhofer+Hauptstr.+21+90443+N%C3%BCrnberg,Inkontinenzhilfen%2C+ableitend,+49 911 998410,"Tucholskystr. 2, 90471 Nürnberg",riedel-gruppe.de,info@riedel-gruppe.de,Gesundheitswesen und Rehabilitationstechnik,Sanitätshaus,"Michael Riedel, Riedel Richardsen",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Riedel-Pfeuffer-GmbH-Haus-der-Gesundheit-Nuernberg
Riedel & Pfeuffer GmbH,Hallplatz 5,90402.0,Nürnberg,https://www.google.de/search?q=Riedel+%26+Pfeuffer+GmbH+Hallplatz+5+90402+N%C3%BCrnberg,Inkontinenzhilfen%2C+ableitend,+49 911 998410,"Tucholskystr. 2, 90471 Nürnberg",riedel-gruppe.de,info@riedel-gruppe.de,Gesundheitswesen und Rehabilitationstechnik,Sanitätshaus,"Michael Riedel, Riedel Richardsen",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Riedel-Pfeuffer-GmbH-Haus-der-Gesundheit-Nuernberg
