id,ik,locationName,address,coordinates,distance,email,website,furtherProducts,phone,adress,handler_type,company_purpose,management,registration_number,profit_year,profit_amount,company_url
58116,510302276,Seniorenresidenz Buchholz Betriebs GmbH,"{'street': 'Soltauer Str. 56', 'streetAddition': '', 'zip': '21244', 'city': 'Buchholz', 'phone': '', 'title': '', 'active': False}","{'lat': 53.317385950325, 'lon': 9.880012944386}",0,info@buchholz-seniorenresidenz.de,seniorenresidenz-nordheide.de,[],+49 4181 23420,"Bahnhofplatz, 89073 Ulm",Seniorenpflege,"Betreiben von in- und/oder ausländischen Pflege- und Kureinrichtungen, Altenwohn- und Altenpflegeheimen und Einrichtung des Betreuten Wohnens sowie Erbringung von damit in Zusammenhang stehenden Dienstleistungen aller Art (einschließlich der Erbringung von stationären und ambulanten Pflegeleistungen, Reinigungs- oder Cateringleistungen und sonstigen Dienstleistungen, z.B. in den Bereichen Facility-Management und Buchführung), Erbringung von Werkvertragsleistungen aller Art gegenüber Einrichtungen des Gesundheitswesens, Erbringung von Personaldienstleistungen aller Art, insbesondere Personalmanagementaufgaben, Personalabrechnungen und Arbeitnehmerüberlassungen nach dem Arbeitnehmerüberlassungsgesetz (AÜG), jedoch nicht die Arbeitsvermittlung.","Monika Nirschl, Sandro Nerger",HRB 742725 Amtsgericht Ulm,,,https://www.companyhouse.de/Seniorenresidenz-Buchholz-Betriebs-GmbH-Ulm
58722,510521761,Seniorenresidenz Clarholz   Alten- und Pflegeheim,"{'street': 'Marienfelder Str. 11', 'streetAddition': '', 'zip': '33442', 'city': 'Herzebrock-Clarholz', 'phone': '', 'title': '', 'active': False}","{'lat': 51.903914972371, 'lon': 8.1911599981474}",0,,,[],,,,,,,,,
59902,510321371,Seniorenresidenz Curanum Bad Nenndorf,"{'street': 'Rudolf-Albrecht-Str. 44 a', 'streetAddition': '', 'zip': '31542', 'city': 'Bad Nenndorf', 'phone': '', 'title': '', 'active': False}","{'lat': 52.332501968503, 'lon': 9.3683369602964}",0,,,[],,,,,,,,,
58914,510918178,Seniorenresidenz Curanum Germering,"{'street': 'Alfons-Baumann-Str. 9 b', 'streetAddition': '', 'zip': '82110', 'city': 'Germering', 'phone': '', 'title': '', 'active': False}","{'lat': 48.122074958656, 'lon': 11.353039984229}",0,,,[],,,,,,,,,
59330,510349567,Seniorenresidenz Curanum Lingen,"{'street': 'Jochem-Hamann-Str. 2', 'streetAddition': '', 'zip': '49809', 'city': 'Lingen', 'phone': '', 'title': '', 'active': False}","{'lat': 52.511477994762, 'lon': 7.326011951622}",0,,,[],,,,,,,,,
58939,510711237,Seniorenresidenz Curanum Remagen,"{'street': 'Alte Str. 42', 'streetAddition': '', 'zip': '53424', 'city': 'Remagen', 'phone': '', 'title': '', 'active': False}","{'lat': 50.576691999086, 'lon': 7.2400799200269}",0,,,[],,,,,,,,,
59780,510700267,Seniorenresidenz Eifelgold,"{'street': 'Unterstr. 1', 'streetAddition': '', 'zip': '54689', 'city': 'Daleiden', 'phone': '', 'title': '', 'active': False}","{'lat': 50.067667975638, 'lon': 6.1840069972867}",0,,,[],,,,,,,,,
59286,510965052,Seniorenresidenz Elisa Aschaffenburg,"{'street': 'Goldbacher Str. 13', 'streetAddition': '', 'zip': '63739', 'city': 'Aschaffenburg', 'phone': '', 'title': '', 'active': False}","{'lat': 49.978115942633, 'lon': 9.1487509756157}",0,,,[],,,,,,,,,
58964,510304007,Seniorenresidenz Elizabeth GmbH,"{'street': 'Gewerbestr. 11', 'streetAddition': '', 'zip': '21781', 'city': 'Cadenberge', 'phone': '', 'title': '', 'active': False}","{'lat': 53.773446147511, 'lon': 9.0536896352826}",0,info@seniorenresidenzelizabeth.com,seniorenresidenzelizabeth.com,[],+49 4777 80980,"Gewerbestr. 11, 21781 Cadenberge",Betreuung von Senioren,"Seniorenresidenz Elizabeth GmbH ist ein Unternehmen, sich auf die Pflege und Betreuung älterer Menschen spezialisiert hat. Es zeichnet sich durch ein engagiertes Management aus, zu dem Elizabeth Blohm, Victoria Asendorf und Lina Rebecca Blohm gehören. Die Residenz ist nicht zur Teilnahme an einem Streitbeilegungsverfahren vor einer Verbraucherschlichtungsstelle verpflichtet.","Elizabeth Blohm, Lina Rebecca Blohm, Victoria Blohm",HRB 206352 Amtsgericht Tostedt,,,https://www.companyhouse.de/Seniorenresidenz-Elizabeth-GmbH-Cadenberge
58739,510557434,Seniorenresidenz Ennigerloh Betriebs GmbH  Alten- und Pflegeheim,"{'street': 'Alter Dahserweg 4', 'streetAddition': '', 'zip': '59320', 'city': 'Ennigerloh', 'phone': '', 'title': '', 'active': False}","{'lat': 51.835003851131, 'lon': 8.0286759634909}",0,,,[],,,,,,,,,
59860,510504533,Seniorenresidenz Erikaneum GmbH,"{'street': 'Hauptstr. 62', 'streetAddition': '', 'zip': '59939', 'city': 'Olsberg', 'phone': '', 'title': '', 'active': False}","{'lat': 51.35817995847, 'lon': 8.4736519479031}",0,,,[],+49 2962 9830,"Forellstraße 44, 44629 Herne",Hotel- und Gaststättengewerbe,Seniorenheim,"Benjamin Hipp, Norbert Dietz, Bernd Kaffanke",HRB 16331 Amtsgericht Bochum,,,https://www.companyhouse.de/Seniorenresidenz-Erikaneum-GmbH-Herne
58721,510522999,Seniorenresidenz Extertal   Alten- und Pflegeheim,"{'street': 'Mittelstr. 84', 'streetAddition': '', 'zip': '32699', 'city': 'Extertal', 'phone': '', 'title': '', 'active': False}","{'lat': 52.067319952443, 'lon': 9.1354099156681}",0,,,[],,,,,,,,,
58995,510604727,"Senioren-Residenz ""Gießen""","{'street': 'Grünberger Str. 27', 'streetAddition': '', 'zip': '35394', 'city': 'Gießen', 'phone': '', 'title': '', 'active': False}","{'lat': 50.583937956766, 'lon': 8.6850269715608}",0,,,[],,,,,,,,,
58992,510604750,"Senioren-Residenz ""Gießen""  Junge Pflege","{'street': 'Grünberger Str. 27', 'streetAddition': '', 'zip': '35394', 'city': 'Gießen', 'phone': '', 'title': '', 'active': False}","{'lat': 50.583937956766, 'lon': 8.6850269715608}",0,,,[],,,,,,,,,
59122,512102289,Senioren-Residenz Godenbergschlößchen,"{'street': 'Godenbergstr. 8', 'streetAddition': '', 'zip': '23714', 'city': 'Malente', 'phone': '', 'title': '', 'active': False}","{'lat': 54.174046976874, 'lon': 10.553829986357}",0,,,[],,,,,,,,,
59163,511431047,"Senioren-Residenz ""Gohlis""","{'street': 'Virchowstr. 1', 'streetAddition': '', 'zip': '04157', 'city': 'Leipzig', 'phone': '', 'title': '', 'active': False}","{'lat': 51.364666974928, 'lon': 12.375075920516}",0,,,[],,,,,,,,,
48413,510306247,Seniorenresidenz Haus Herbstrose  stationäre Pflegeeinrichtung,"{'street': 'Alter Wanderweg 4', 'streetAddition': '', 'zip': '21386', 'city': 'Betzendorf', 'phone': '', 'title': '', 'active': False}","{'lat': 53.148577964156, 'lon': 10.297501918409}",0,,,[],,,,,,,,,
59382,510647999,Senioren Residenz Heppenheim GmbH Sankt Katharina,"{'street': 'Lorscher Str. 1-3', 'streetAddition': '', 'zip': '64646', 'city': 'Heppenheim', 'phone': '', 'title': '', 'active': False}","{'lat': 49.642663997818, 'lon': 8.6384509410468}",0,,,[],+49 6252 9599500,"Zeppelinstr. 4-8, 50667 Köln",Betreuung und Unterbringung älterer Menschen,"Senioren-Residenz Heppenheim GmbH Sankt Katharina bietet altersgerechte Apartments in verschiedenen Größen und Pflegeapartments in einer Hausgemeinschaft. Sie zeichnet sich durch eine zentrale Lage in Heppenheim aus, den Bewohnern einen einfachen Zugang zu lokalen Annehmlichkeiten ermöglicht. Ihr Ziel ist es, Senioren ein komfortables Wohnumfeld und notwendige Pflege zu bieten.",Andreas Thomas Bochem,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Senioren-Residenz-Heppenheim-GmbH-Sankt-Katharina-Koeln
59133,511422342,"Senioren-Residenz ""In der Alten Mälzerei""","{'street': 'Berthold-Haupt-Str. 83', 'streetAddition': '', 'zip': '01259', 'city': 'Dresden', 'phone': '', 'title': '', 'active': False}","{'lat': 51.007915994595, 'lon': 13.846603941644}",0,,,[],,,,,,,,,
59884,510337574,Seniorenresidenz Jeetzelgarten  Stat. Altenpflege,"{'street': 'Querdeich 18', 'streetAddition': '', 'zip': '29451', 'city': 'Dannenberg', 'phone': '', 'title': '', 'active': False}","{'lat': 53.095677959441, 'lon': 11.094721968263}",0,,,[],,,,,,,,,
59849,510523079,Seniorenresidenz Königswinter Betriebs GmbH,"{'street': 'Hauptstr. 487', 'streetAddition': '', 'zip': '53639', 'city': 'Königswinter', 'phone': '', 'title': '', 'active': False}","{'lat': 50.671850977247, 'lon': 7.1952689892146}",0,,,[],,"Bahnhofpl. 4, 89073 Ulm","Betreiben von Pflege- und Kureinrichtungen, Altenwohn- und Altenpflegeheimen, sowie Erbringung von damit in Zusammenhang stehenden Dienstleistungen","Seniorenresidenz Königswinter Betriebs GmbH ist ein Unternehmen, sich auf das Betreiben von Pflege- und Kureinrichtungen, Altenwohn- und Altenpflegeheimen, sowie Erbringung von damit in Zusammenhang stehenden Dienstleistungen aller Art spezialisiert hat. Das Unternehmen zeichnet sich durch seine Tätigkeit im Bereich der Altenpflege und -betreuung aus. Der Zweck seiner Geschäftstätigkeit ist es, älteren Menschen eine angemessene und qualitativ hochwertige Betreuung und Pflege anzubieten.",Monika Nirschl,HRB 742684 Amtsgericht Ulm,,,https://www.companyhouse.de/Seniorenresidenz-Koenigswinter-Betriebs-GmbH-Ulm
56228,510712955,Senioren-Residenz Linz GmbH Sankt Antonius,"{'street': 'Am Konvikt 6 - 8', 'streetAddition': '', 'zip': '53545', 'city': 'Linz', 'phone': '', 'title': '', 'active': False}","{'lat': 50.567125949693, 'lon': 7.2851369892271}",0,,,[],+49 221 94998000,"Zeppelinstr. 4-8, 50667 Köln",Einzelhandel,"Betrieb des Schulungszentrums connexxion concept - der Betrieb von Tankstellen und Waschanlagen - der Handel und Vermittlung von Brennstoffen aller Art - der Handel mit tankstellenspezifischen Folgemarktartikeln und Gebrauchtwaren aller Art - der Verkauf und Vermittlung von Neu-, und Gebraucht-, Leih- und Leasingfahrzeugen sowie Baumaschinen - der Verleih von Fahrzeugen und Wassersportgeräten sowie Booten - die Vermietung von Austellungs- und Werkstattflächen sowie Wohnobjekten - der Betrieb von Discotheken - die Durchführung von Seminaren, Veranstaltungen und Events, - die Vermittlung von Finanzierungen und Versicherungsverträgen, - der Betrieb eines Internetportals ""arbeitinnrw.de"" sowie aktive Arbeitnehmervermittlung.","Uwe Seltmann, Andreas Thomas Bochem",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Senioren-Residenz-Linz-GmbH-Sankt-Antonius-Koeln
59848,510307497,Seniorenresidenz Lüchow   Alten- und Pflegeheim,"{'street': 'Königsberger Str. 4', 'streetAddition': '', 'zip': '29439', 'city': 'Lüchow', 'phone': '', 'title': '', 'active': False}","{'lat': 52.970993963881, 'lon': 11.160307967157}",0,,,[],,,,,,,,,
59306,512532438,Seniorenresidenz Mondorf,"{'street': 'Eifelstr. 1 f', 'streetAddition': '', 'zip': '53859', 'city': 'Niederkassel', 'phone': '', 'title': '', 'active': False}","{'lat': 50.779597985811, 'lon': 7.0590409136823}",0,info@mondorf-seniorenresidenz.de,mondorf-seniorenresidenz.de,[],+49 228 184860,"Bahnhofpl. 4, 89073 Ulm",Großhandel,Seniorenheim,"Monika Nirschl, Sandro Nerger, Dirk Lorscheider",HRB 742713 Amtsgericht Ulm,,,https://www.companyhouse.de/Seniorenresidenz-Mondorf-Betriebs-GmbH-Ulm
58782,510963469,Seniorenresidenz Phönix Dettelbach,"{'street': 'Schillerstr. 1', 'streetAddition': '', 'zip': '97337', 'city': 'Dettelbach', 'phone': '', 'title': '', 'active': False}","{'lat': 49.805342967906, 'lon': 10.166740989695}",0,,,[],,,,,,,,,
59271,512533097,Seniorenresidenz Rheinallee Betriebsgesellschaft mbH,"{'street': 'Rheinallee 78', 'streetAddition': '', 'zip': '53173', 'city': 'Bonn', 'phone': '', 'title': '', 'active': False}","{'lat': 50.689557955213, 'lon': 7.1682209855043}",0,,,[],+49 228 35010,"Rheinallee 78, 53173 Bonn",Soziale Einrichtungen,,Karin Grote,,,,https://www.companyhouse.de/Seniorenresidenz-Rheinallee-GmbH-Bonn
59538,510346461,"""Seniorenresidenz Rieger"" Christian Rieger  APH mit Tagespflege","{'street': 'Wellengartenstr. 4-6', 'streetAddition': '', 'zip': '49214', 'city': 'Bad Rothenfelde', 'phone': '', 'title': '', 'active': False}","{'lat': 52.1071829695, 'lon': 8.1606479110385}",0,,,[],,,,,,,,,
59870,510576881,Seniorenresidenz Salzkotten   Alten- und Pflegeeinrichtung,"{'street': 'Paderborner Str. 42', 'streetAddition': '', 'zip': '33154', 'city': 'Salzkotten', 'phone': '', 'title': '', 'active': False}","{'lat': 51.674843977644, 'lon': 8.6166169389086}",0,,,[],,,,,,,,,
57863,510508935,Seniorenresidenz Sankt Augustin,"{'street': 'Rathausallee 5', 'streetAddition': '', 'zip': '53757', 'city': 'Sankt Augustin', 'phone': '', 'title': '', 'active': False}","{'lat': 50.77611158437, 'lon': 7.1848381114615}",0,,,[],,"Bahnhofpl. 4, 89073 Ulm",Dienstleistungen,"Betreiben von in- und/oder ausländischen Pflege- und Kureinrichtungen, Altenwohn- und Altenpflegeheimen und Einrichtung des Betreuten Wohnens sowie Erbringung von damit in Zusammenhang stehenden Dienstleistungen aller Art (einschließlich der Erbringung von stationären und ambulanten Pflegeleistungen, Reinigungs- oder Cateringleistungen und sonstigen Dienstleistungen, z.B. in den Bereichen Facility-Management und Buchführung), Erbringung von Werkvertragsleistungen aller Art gegenüber Einrichtungen des Gesundheitswesens, Erbringung von Personaldienstleistungen aller Art, insbesondere Personalmanagementaufgaben, Personalabrechnungen und Arbeitnehmerüberlassungen nach dem Arbeitnehmerüberlassungsgesetz (AÜG), jedoch nicht die Arbeitsvermittlung.","Monika Nirschl, Sandro Nerger, Dirk Lorscheider",HRB 742712 Amtsgericht Ulm,,,https://www.companyhouse.de/Seniorenresidenz-Sankt-Augustin-Betriebs-GmbH-Ulm
59101,510556104,Seniorenresidenz Schanze,"{'street': 'Schanze 32 - 36', 'streetAddition': '', 'zip': '46399', 'city': 'Bocholt', 'phone': '', 'title': '', 'active': False}","{'lat': 51.838166945035, 'lon': 6.6119499357652}",0,,,[],,,,,,,,,
48414,511310290,Seniorenresidenz Schwerin,"{'street': 'Möwenburgstr. 25', 'streetAddition': '', 'zip': '19055', 'city': 'Schwerin', 'phone': '', 'title': '', 'active': False}","{'lat': 53.64625155312, 'lon': 11.420781221152}",0,,,[],,,,,,,,,https://www.companyhouse.de/Seniorenresidenz-Schwerin-Betriebs-GmbH-Winsen-Aller-Schwerin
59059,512591225,Seniorenresidenz Selm,"{'street': 'Ludgeristr. 123', 'streetAddition': '', 'zip': '59379', 'city': 'Selm', 'phone': '', 'title': '', 'active': False}","{'lat': 51.697421988313, 'lon': 7.4661819244525}",0,,,[],,"c/o Alloheim Senioren-Residenzen,",Hotel- und Gaststättengewerbe,"Betrieb von Pflegeeinrichtungen und sonstigen Heimen (insbesondere Alten-, Behinderten- und Pflegeheimen) und sämtliche hiermit im Zusammenhang stehenden Tätigkeiten.","Raphael Gilberg, Philipp Bittmann, Petra Groth",HRB 25609 Amtsgericht Dortmund,,,https://www.companyhouse.de/Seniorenresidenz-Selm-GmbH-Duesseldorf
59154,510108372,Senioren-Residenz St. Franziskus  Vollstationäre Pflege,"{'street': 'Berliner Str. 4', 'streetAddition': '', 'zip': '21493', 'city': 'Schwarzenbek', 'phone': '', 'title': '', 'active': False}","{'lat': 53.501462960274, 'lon': 10.478832967052}",0,,,[],,,,,,,,,
59833,510108997,Senioren-Residenz Waldersee,"{'street': 'Max-Wartemann-Str. 14', 'streetAddition': '', 'zip': '23564', 'city': 'Lübeck', 'phone': '', 'title': '', 'active': False}","{'lat': 53.862300979314, 'lon': 10.71512896349}",0,,,[],,"An der Untertrave 107, 23552 Lübeck",,,,,,,https://www.companyhouse.de/Senioren-Residenz-Betriebsgesellschaft-mbH-Co-Waldersee-KG-Luebeck
59878,512531391,Seniorenresidenz Walter Esser  Alten- und Pflegeheim,"{'street': 'Rheinstr. 36', 'streetAddition': '', 'zip': '53859', 'city': 'Niederkassel', 'phone': '', 'title': '', 'active': False}","{'lat': 50.828310980363, 'lon': 7.0107609587373}",0,,,[],,,,,,,,,
59087,510819350,Seniorenresidenz Wertheim  Stationäre Pflege,"{'street': 'Willy-Brandt-Str. 2', 'streetAddition': '', 'zip': '97877', 'city': 'Wertheim', 'phone': '', 'title': '', 'active': False}","{'lat': 49.753024963644, 'lon': 9.4964869356362}",0,,,[],,,,,,,,,
59865,510500584,Seniorenresidenz Weserstraße Betriebs GmbH,"{'street': 'Weserstr. 22', 'streetAddition': '', 'zip': '32545', 'city': 'Bad Oeynhausen', 'phone': '', 'title': '', 'active': False}","{'lat': 52.197402330387, 'lon': 8.8002521662558}",0,info@weserstrasse-seniorenresidenz.de,seniorenresidenz-weserstrasse.de,[],+49 5731 86950,"Bahnhofpl. 4, 89073 Ulm",Betreutes Wohnen und Pflege für Senioren,Seniorenheim,"Monika Nirschl, Sandro Nerger, Dirk Lorscheider",HRB 742699 Amtsgericht Ulm,,,https://www.companyhouse.de/Seniorenresidenz-Weserstrasse-Betriebs-GmbH-Ulm
66742,510301106,Senioren-Schlößchen Pflege-Service Hagen GmbH  Pflegeheim,"{'street': 'Amtsdamm 31', 'streetAddition': '', 'zip': '27628', 'city': 'Hagen', 'phone': '', 'title': '', 'active': False}","{'lat': 53.35542997683, 'lon': 8.6408419868385}",0,,,[],,,,,,,,,
59630,510322316,Seniorensitz Auf der Heide Edith Kleine GmbH,"{'street': 'Auf der Heide 1', 'streetAddition': '', 'zip': '31556', 'city': 'Wölpinghausen', 'phone': '', 'title': '', 'active': False}","{'lat': 52.428005549461, 'lon': 9.2590413651288}",0,,,[],,,,,,,,,
59449,510519233,Seniorenstift Haus Berge,"{'street': 'Haus-Berge-Str. 231 e', 'streetAddition': '', 'zip': '45356', 'city': 'Essen', 'phone': '', 'title': '', 'active': False}","{'lat': 51.478947968939, 'lon': 6.9762109444263}",0,,,[],,,,,,,,,
59839,510105006,Seniorenstift Laboe,"{'street': 'Mühlenstr. 9', 'streetAddition': '', 'zip': '24235', 'city': 'Laboe', 'phone': '', 'title': '', 'active': False}","{'lat': 54.400960969111, 'lon': 10.222006962942}",0,,,[],,,Soziale Einrichtungen,,"Ekkehart Weiland Eymer, Bettina Weiland, Burkhardt Eymer",,,,https://www.companyhouse.de/GsD-Gesellschaft-fuer-soziale-Dienste-mbH-Co-Seniorenstift-Laboe-KG-Laboe
58125,510832095,Seniorenstift Sonnenrain GmbH,"{'street': 'Schulstr. 7', 'streetAddition': '', 'zip': '79737', 'city': 'Herrischried', 'phone': '', 'title': '', 'active': False}","{'lat': 47.64629899591, 'lon': 8.0165049592009}",0,,,[],+49 7764 92030,"Schulstr. 7, 79737 Herrischried",Pflege und Betreuung älterer Menschen,"Seniorenstift Sonnenrain GmbH bietet Pflegeleistungen für Senioren an. Es ist gekennzeichnet durch ein Leitbild, sich auf die Bedürfnisse älterer Menschen konzentriert. Das Unternehmen bietet Aktivitäten und verschiedene Leistungen, darauf abzielen, den Lebensabend der Bewohner angenehm zu gestalten.",Alexander Buchmeier,HRB 713213 Amtsgericht Freiburg,,,https://www.companyhouse.de/Seniorenstift-Sonnenrain-GmbH-Herrischried
59192,510520076,Seniorenstift St. Christophorus,"{'street': 'Kirchstr. 91', 'streetAddition': '', 'zip': '45479', 'city': 'Mülheim', 'phone': '', 'title': '', 'active': False}","{'lat': 51.422053984746, 'lon': 6.8527769446651}",0,,,[],,,,,,,,,
48404,510532639,Senioren- und Behinderten- betreuung am Kurpark Dr. Kneip GmbH Alten- und Pflegeheim,"{'street': 'Luisenstr. 27', 'streetAddition': '', 'zip': '53604', 'city': 'Bad Honnef', 'phone': '', 'title': '', 'active': False}","{'lat': 50.647194950335, 'lon': 7.2219259562817}",0,,,[],,,,,,,,,
59919,512532267,Senioren- und Betreuungseinrichtung Haus Agnes Bertram GmbH,"{'street': 'Gemünder Str. 64', 'streetAddition': '', 'zip': '53894', 'city': 'Mechernich', 'phone': '', 'title': '', 'active': False}","{'lat': 50.63446595119, 'lon': 6.5925859413323}",0,,,[],,,Betreuung und Pflege älterer Menschen,"Senioren- und Betreuungseinrichtung Haus Agnes Bertram GmbH bietet Pflege und Unterhaltung für Senioren in einer angenehmen Atmosphäre. Die Einrichtung zeichnet sich durch eine persönliche und einfühlsame Betreuung aus, auf die individuellen Bedürfnisse der Bewohner eingeht.",Manuela Regh,HRB 18468 Amtsgericht Bonn,,,https://www.companyhouse.de/Senioren-und-Betreuungseinrichtung-Haus-Agnes-Bertram-GmbH-Mechernich
58820,510596179,Senioren- und Fachpflegezentrum Park Residenz GmbH,"{'street': 'Wittekindstr. 105', 'streetAddition': '', 'zip': '44139', 'city': 'Dortmund', 'phone': '', 'title': '', 'active': False}","{'lat': 51.494675949837, 'lon': 7.4427089460785}",0,,,[],,,,,,,,,
58852,510508731,Senioren- und Pflege gGmbH,"{'street': 'Söllingstr. 75 - 77', 'streetAddition': '', 'zip': '45127', 'city': 'Essen', 'phone': '', 'title': '', 'active': False}","{'lat': 51.458984973145, 'lon': 7.0204069784267}",0,,,[],,"Söllingstr. 75-77, 45127 Essen",Soziale Einrichtungen,"Förderung der Altenhilfe und des Wohlfahrtswesens sowie selbstlose Unterstützung von hilfsbedürftigen Personen im Sinne des § 53 AO, infolge ihres körperlichen, geistigen oder seelischen Zustands auf die Hilfe anderer angewiesen sind. Der Satzungszweck wird verwirklicht insbesondere durch die Unterhaltung und den Betrieb von Einrichtungen der Altenhilfe und -pflege, vor allem durch die Unterhaltung und den Betrieb des Johannes-Heims in . Darüber hinaus kann die Gesellschaft auch teilstationäre und ambulante Hilfsangebote erbringen, etwa durch den Betrieb von ambulanten Pflegediensten, Tagespflegen und betreutem Wohnen oder die Erbringung von sonstigen Versorgungs- und Betreuungsleistungen für hilfsbedürftige Menschen. In den Einrichtungen der Gesellschaft werden regelmäßig Gottesdienste abgehalten und es findet seelsorgerische Begleitung statt. Auch kann die Gesellschaft unheilbar Kranke und Sterbende in ihrer letzten Lebensphase begleiten und pflegen, indem sie Palliativpflege und/oder Hospizarbeit anbietet. Ferner führt die Gesellschaft Aus-, Fort- und Weiterbildungsmaßnahmen auf dem Gebiet der Altenhilfe sowie Altenarbeit und Seniorenberatung durch.",Katja Anita Willmann,Gemeinnützige Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Senioren-und-Pflege-gGmbH-Essen-Essen
59507,510814969,"Senioren- und Pflegehaus ""Drendel"" Betriebs GmbH Wohn- und Pflegezentrum Drendel","{'street': 'Vogelsangstr. 23 - 27', 'streetAddition': '', 'zip': '74639', 'city': 'Zweiflingen', 'phone': '', 'title': '', 'active': False}","{'lat': 49.266236954677, 'lon': 9.5374209173454}",0,,,[],,,,,,,,,
58756,510556477,Senioren- und Pflegeheim der Stadt Gelsenkirchen,"{'street': 'Schonnebecker Str. 108', 'streetAddition': '', 'zip': '45884', 'city': 'Gelsenkirchen', 'phone': '', 'title': '', 'active': False}","{'lat': 51.486506993348, 'lon': 7.0763199183408}",0,,,[],,,,,,,,,
59638,510321634,Senioren- und Pflegeheim Klein Lobke Heidi Bahrke,"{'street': 'Lobker Str. 9', 'streetAddition': '', 'zip': '31319', 'city': 'Sehnde', 'phone': '', 'title': '', 'active': False}","{'lat': 52.285787986388, 'lon': 10.014521913959}",0,,,[],,,,,,,,,
58976,510951374,Senioren- und Pflegeheim Wassertrüdingen,"{'street': 'Bahnhofstr. 31', 'streetAddition': '', 'zip': '91717', 'city': 'Wassertrüdingen', 'phone': '', 'title': '', 'active': False}","{'lat': 49.04283897354, 'lon': 10.603872974878}",0,,,[],,,,,,,,,
59135,510597498,"Senioren- und Pflegezentrum ""Am Museum""","{'street': 'Friedrichstr. 25- 27', 'streetAddition': '', 'zip': '59065', 'city': 'Hamm', 'phone': '', 'title': '', 'active': False}","{'lat': 51.677159977886, 'lon': 7.8123969468656}",0,,,[],,,,,,,,,
59117,510598809,"Senioren- und Pflegezentrum ""Am Museum""  Phase F","{'street': 'Friedrichstr. 25 - 27', 'streetAddition': '', 'zip': '59065', 'city': 'Hamm', 'phone': '', 'title': '', 'active': False}","{'lat': 51.677159977886, 'lon': 7.8123969468656}",0,,,[],,,,,,,,,
59387,510954732,Senioren- und Pflegezentrum Artelshofen,"{'street': 'Ins Engenthal 6', 'streetAddition': '', 'zip': '91247', 'city': 'Vorra', 'phone': '', 'title': '', 'active': False}","{'lat': 49.572912986611, 'lon': 11.493639980586}",0,,,[],,,,,,,,,
58115,510532194,Senioren- und Pflegezentrum Lichtenberg Gmbh,"{'street': 'Bergstr. 39-45', 'streetAddition': '', 'zip': '51597', 'city': 'Morsbach', 'phone': '', 'title': '', 'active': False}","{'lat': 50.902477967323, 'lon': 7.7106289642843}",0,,,[],+49 2294 6980,"Bergstr. 39-45, 51597 Morsbach",Soziale Einrichtungen,Seniorenheim,Waldemar Metzger,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Senioren-und-Pflegezentrum-Lichtenberg-GmbH-Morsbach
58105,512531927,Senioren- und Pflegezentrum Lichtenberg GmbH,"{'street': 'Siegener Str. 2', 'streetAddition': '', 'zip': '51597', 'city': 'Morsbach', 'phone': '', 'title': '', 'active': False}","{'lat': 50.89227798381, 'lon': 7.6926129817668}",0,,,[],+49 2294 6980,"Bergstr. 39-45, 51597 Morsbach",Soziale Einrichtungen,Seniorenheim,Waldemar Metzger,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Senioren-und-Pflegezentrum-Lichtenberg-GmbH-Morsbach
59624,510952649,Senioren- und Pflegezentrum Rupprechtstegen GmbH,"{'street': 'Mühlenweg 5', 'streetAddition': '', 'zip': '91235', 'city': 'Hartenstein', 'phone': '', 'title': '', 'active': False}","{'lat': 49.595914956415, 'lon': 11.47553596317}",0,info@pflegezentrum-rupprechtstegen.de,pflegezentrum-rupprechtstegen.de,[],+49 9152 98580,"Bismarckstr. 47, 38667 Bad Harzburg",Soziale Einrichtungen,,"Maria Fancello, Gina Fancello, Wolfgang Neumann",,,,https://www.companyhouse.de/Senioren-und-Pflegezentrum-Rupprechtstegen-GmbH-Bad-Harzburg
59879,510955130,Senioren- und Pflegezentrum St. Elisabeth,"{'street': 'Insinger Str. 1', 'streetAddition': '', 'zip': '90449', 'city': 'Nürnberg', 'phone': '', 'title': '', 'active': False}","{'lat': 49.422153979341, 'lon': 11.03253492491}",0,,,[],,"Bismarckstr. 47, 38667 Bad Harzburg",Soziale Einrichtungen,Betrieb von Altenwohn- und Altenpflegeheimen.,"Maria Fancello, Gina Fancello",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Senioren-und-Pflegezentrum-St-Elisabeth-GmbH-Bad-Harzburg
58181,330902886,Seniorenwohnanlage Willy-Brandt-Haus  Hilfsmittel,"{'street': 'Buchwaldstr. 68', 'streetAddition': '', 'zip': '97769', 'city': 'Bad Brückenau', 'phone': '', 'title': '', 'active': False}","{'lat': 50.297539980768, 'lon': 9.7864379565221}",0,,,[],,,,,,,,,
